Publisher Name,Publisher Registry Id,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Time lag
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,1031,766,1097,1835,932,1248,1482,1767,1977,2509,1075,252,One month
Nutrition International,nutritionintl,1,1,1,1,0,0,1,0,0,1,0,1,One month
OCHA Country Based Pooled Funds,unocha-cbpf,433,345,282,439,476,515,526,346,363,511,404,464,One month
ONG ALCRER,alcrer-1,0,0,0,0,0,0,0,1,0,2,2,0,One month
OurLoop Stitchting,loop,6,0,3,1,2,2,5,2,9,4,4,1,One month
Oxfam Novib,onl,1418,721,704,924,829,768,1016,895,975,1071,951,913,One month
PAX,pax,98,5,1,104,3,5,102,0,3,2,8,0,One month
Plan International Netherlands,plannlno,134,77,89,119,64,84,111,71,86,122,3,0,One month
Plan International UK,plan_uk,104,91,58,155,20,10,24,19,67,25,51,0,One month
Save the Children Netherlands,scnl,68,9,1,57,3,0,42,0,2,57,16,0,One month
Scottish Catholic International Aid Fund (SCIAF),sciaf,4,1,0,7,4,1,5,0,0,5,0,3,One month
Spanish Agency for International Development Cooperation (AECID),aecid,20,98,78,70,187,98,62,141,2,0,51,23,One month
Stichting Woord en Daad,w-d,13,16,7,10,19,7,9,23,19,26,3,0,One month
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida,1145,754,697,869,724,399,816,985,1225,1321,267,355,One month
TEAR fund Nederland,tear,9,6,10,5,0,2,0,0,2,10,4,0,One month
TREE AID,treea,2,2,0,2,2,0,1,0,2,1,3,0,One month
The AGRI3 Fund,agri3_fund,0,0,0,0,0,0,0,0,1,1,1,0,One month
The Education Commission,educomm,3,2,0,0,1,0,2,0,2,2,1,1,One month
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,1848,1577,719,2241,1970,1779,2165,2481,1956,1925,2151,1950,One month
The International Institute for Sustainable Development,iisd,0,1,0,1,0,0,5,1,2,1,2,0,One month
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),unrwa,28,0,0,32,0,0,44,0,0,828,198,0,One month
The University of Oxford,oxford,6,0,1,2,2,1,4,1,1,39,4,4,One month
The World Bank,worldbank,4556,0,0,5532,0,0,4624,0,0,5513,1336,0,One month
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,289,199,0,199,134,2,164,74,10,140,30,28,One month
"UK - Foreign, Commonwealth and Development Office",fcdo,1910,687,626,1016,830,811,1192,812,899,877,712,10,One month
UN Women,unw,1009,1015,1069,1116,1117,1113,1116,1154,1166,3373,333,2740,One month
UNITAID,utd,6,3,15,24,13,6,8,2,2,15,4,0,One month
United Nations Central Emergency Response Fund (CERF),cerf,23,89,37,51,13,32,95,95,49,142,52,43,One month
United Nations Children's Fund (UNICEF),unicef,8252,8112,7955,8234,7861,7902,8089,8226,8641,57240,8592,72717,One month
United Nations Development Programme (UNDP),undp,4960,4692,4730,5515,4549,4930,5508,4923,5030,18846,3605,24324,One month
United Nations Foundation,unf,4,0,0,3,1,1,2,0,0,1,2,1,One month
United Nations High Commissioner for Refugees (UNHCR),unhcr,517,484,534,744,442,436,548,448,598,734,368,414,One month
United Nations Office for Project Services (UNOPS),unops,4,3,3,3,4,3,3,0,0,963,1149,964,One month
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha,110,64,131,93,63,38,14,8,7,67,51,129,One month
United Nations World Food Programme (WFP),wfp,2547,2486,2325,2243,2231,2296,2216,2139,2262,2828,2351,2811,One month
United States Agency for International Development (USAID),usaid,25438,1762,2069,26387,1466,1920,34179,1246,1360,25181,2170,0,One month
WSP USA Solutions Inc.,lbg,6,6,3,6,2,4,8,5,3,8,1,5,One month
WasteAid UK,wasteaid,0,20,22,24,0,0,0,4,8,21,0,2,One month
Welsh Centre for International Affairs,wcia,1,0,0,1,1,1,1,0,1,1,0,1,One month
Womankind Worldwide,womankindworld,3,2,1,2,0,6,5,1,5,1,2,0,One month
World Health Organization (WHO),who,11746,10914,10321,11429,10367,11336,12279,13542,15325,22040,13364,6207,One month
ZOA,zoa,8,10,6,3,5,3,7,5,4,15,2,0,One month
50 Eight Limited,fifty_eight,2,0,0,2,0,0,2,0,0,2,0,0,A quarter
AFELT,afelt,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
AUXFIN Burundi,auxfinbi,0,0,0,0,0,0,0,0,1,8,0,0,A quarter
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,2,0,1,0,0,1,0,1,0,1,0,0,A quarter
Access to Medicine Foundation,atmf,0,0,1,0,1,0,0,0,0,3,0,0,A quarter
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,0,0,0,2,0,2,0,0,0,0,0,1,A quarter
Acumen,acumen,4,1,0,1,1,0,2,0,0,1,0,0,A quarter
African Security Sector Network,assn,0,0,0,7,0,0,0,0,0,4,0,0,A quarter
African Women's Development Fund,awdf,0,0,0,0,0,0,7,0,0,7,0,0,A quarter
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,2,0,0,1,0,0,2,0,0,1,0,0,A quarter
Amref Flying Doctors,amrefnl,3,1,0,4,2,5,3,6,1,6,0,0,A quarter
Aqua for All,aqua4all,10,7,8,10,10,4,3,6,8,0,1,0,A quarter
Ashoka East Africa,ashoka,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
Assistance Mission for Africa,ama-south-sudan,0,0,0,1,0,0,1,0,0,1,0,0,A quarter
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,0,0,0,0,0,0,0,0,0,1,0,0,A quarter
Belgian development agency (Enabel),enabel,92,56,58,79,69,35,57,66,55,71,0,0,A quarter
British Council,britishcouncil,61,26,67,21,37,69,55,58,73,46,0,0,A quarter
CABI,cabi,21,0,0,22,0,0,19,0,5,9,0,0,A quarter
CANADEM,canadem,2,0,0,2,0,0,2,0,0,2,0,0,A quarter
CARE International UK,ciuk,37,42,32,44,36,22,9,21,24,22,0,0,A quarter
CARE Nederland,carenederland,29,14,4,26,2,4,2,7,7,5,0,0,A quarter
CDP Worldwide,cdp,3,0,0,3,0,0,3,0,0,3,0,0,A quarter
Camfed International,camfed,29,0,2,25,1,2,20,1,0,5,0,0,A quarter
Canada Department of Finance / Ministère des Finances Canada,finance_canada,4,0,0,0,0,0,0,0,0,0,10,0,A quarter
Carbon Trust Advisory Ltd,carbontrustadvisory,4,6,9,6,6,13,2,3,0,3,0,0,A quarter
Cardno Emerging Markets,cardnoem,7,3,44,43,0,25,37,0,25,27,0,0,A quarter
Catholic Relief Services,crs,15,3,3,3,5,3,14,1,1,10,0,0,A quarter
Centre for Humanitarian Dialogue (HD Centre),hdcentre,3,0,0,2,1,1,4,0,0,3,0,0,A quarter
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
Christian Blind Mission (UK) Ltd.,cbm,3,0,3,3,2,1,3,0,0,3,0,0,A quarter
ClientEarth,clientearth-1,13,3,1,9,2,1,11,3,1,12,0,0,A quarter
Clinton Health Access Initiative,chai,8,0,2,9,1,2,9,1,2,5,0,0,A quarter
Cobra Collective CIC,cobracollective,0,2,0,0,1,1,0,1,1,1,0,0,A quarter
Coffey International Development,coffey,71,0,0,83,0,0,53,0,0,44,0,0,A quarter
Commune de Allada - Bénin,allada,0,0,1,0,0,0,0,0,0,1,0,0,A quarter
Commune de Dangbo - Benin,dangbo,0,0,1,0,0,0,0,1,0,1,0,0,A quarter
Commune de Kétou - Bénin,ketou,0,0,1,0,0,0,0,2,0,1,0,0,A quarter
Commune de Parakou - Bénin,parakou,0,0,3,0,0,0,0,3,1,1,0,0,A quarter
Commune de Toffo - Bénin,toffo,0,0,3,0,0,0,0,4,1,1,0,0,A quarter
Commune de Zè - Bénin,ze,0,0,3,0,0,0,0,5,1,1,0,0,A quarter
Crown Agents Limited,cal,8,0,0,7,0,0,6,0,0,7,0,0,A quarter
DCAF - Geneva Centre for Security Sector Governance,dcaf,2,1,0,3,2,3,1,1,0,1,0,0,A quarter
DKT Ethiopia,dkt_ethiopia,2,1,0,2,0,0,0,1,2,2,0,0,A quarter
DanChurchAid,dca,0,0,0,2,0,0,0,0,0,0,0,1,A quarter
Danish Red Cross,danishrc,0,0,0,0,2,0,0,0,0,1,0,0,A quarter
East African Playgrounds,eap,2,0,2,2,0,1,1,0,0,1,0,0,A quarter
Elton John AIDS Foundation,ejaf,4,3,3,4,0,1,1,1,0,1,0,0,A quarter
European Investment Bank,eib,4,7,5,12,3,0,2,7,8,35,0,0,A quarter
Eve Organization for Women Development,eveowd,0,0,0,1,0,0,0,1,0,1,0,0,A quarter
FMO,fmo,7,5,7,14,7,14,13,3,5,12,0,0,A quarter
Family Guidance Association of Ethiopia,fgae_ethiopia,0,0,0,1,1,1,1,0,1,2,0,0,A quarter
Gender at Work,genderatwork,0,0,0,0,0,2,10,0,4,9,0,0,A quarter
Germany - Federal Foreign Office,fo_germany,403,301,354,453,393,369,380,449,686,5,0,0,A quarter
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,15,0,18,13,0,14,14,0,14,15,0,0,A quarter
Global Innovation Fund,gif,3,3,1,2,0,0,2,1,1,2,0,0,A quarter
Global Network of People Living with HIV (GNP+),gnpplus,0,0,0,0,0,0,0,0,1,3,0,0,A quarter
Grow Asia,growasia,0,0,0,0,0,0,1,1,0,0,2,0,A quarter
Gulu University,guluuni,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
HealthNet TPO,healthnet,0,0,0,0,1,0,0,0,0,1,0,0,A quarter
INTERSOS Onlus,intersos_main,0,0,0,0,0,1,1,0,0,1,0,0,A quarter
INTOSAI Development Initiative,idi,31,0,0,30,0,0,36,0,0,37,0,0,A quarter
IRC,irc,7,0,0,7,0,0,7,0,7,7,0,0,A quarter
IUCN Nederlands Comité,iucn_nl,25,42,27,1,2,1,2,0,2,2,0,0,A quarter
Institute for Security Studies,issafrica,3,0,0,3,1,0,3,0,0,3,0,0,A quarter
Institute of Development Studies,ids,103,0,0,0,0,0,96,0,0,58,0,0,A quarter
Integrity Action,integrity_action,3,0,1,3,2,1,1,0,1,1,0,0,A quarter
International Center for Not-for-Profit Law,icnl_org,12,6,1,11,1,5,15,8,3,18,0,0,A quarter
International Crisis Group,crisisgroup,2,0,0,2,0,0,2,1,0,1,0,0,A quarter
International IDEA,idea,7,0,0,22,0,0,107,0,0,577,0,0,A quarter
International Medical Corps UK,imc_uk,6,1,0,5,0,1,2,1,1,2,0,0,A quarter
International Network for Advancing Science and Policy,inasp,6,0,1,6,0,1,6,0,1,6,0,0,A quarter
International Planned Parenthood Federation,ippf,78,26,23,91,18,18,48,11,8,7,0,0,A quarter
International Rescue Committee UK,irc_uk,14,10,8,9,8,3,3,10,0,8,0,0,A quarter
InvestInternational,investinternational,32,17,14,20,18,20,53,14,13,45,0,0,A quarter
Islamic Relief Worldwide,irw,8,0,2,2,0,2,1,1,0,7,0,0,A quarter
Just Associates,jass,0,0,0,0,0,0,12,0,0,15,0,0,A quarter
KPMG East Africa,kpmgea,4,0,2,6,2,2,8,0,0,3,0,0,A quarter
King Hussein Foundation,khf,2,0,0,0,3,1,4,2,0,1,0,0,A quarter
King's College London,kingscollegelondon,4,1,1,1,4,2,1,3,1,1,0,0,A quarter
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,0,0,0,0,0,0,0,0,0,1,0,0,A quarter
Leonard Cheshire Disability,lcd_admin,8,6,0,4,3,0,0,4,0,0,3,0,A quarter
London School of Hygiene and Tropical Medicine,lshtm,57,29,30,17,1,2,2,2,2,1,0,0,A quarter
MAG,mag,17,0,0,18,0,0,20,0,0,23,0,0,A quarter
MDF Global,mdf,4,0,3,3,0,0,4,1,1,3,0,0,A quarter
Malaria Consortium,malariaconsortium,86,17,21,62,34,24,88,15,19,59,0,0,A quarter
Mama Cash,mamac,0,0,0,0,0,0,0,0,0,1,0,0,A quarter
Mercy Corps Europe,mce,59,0,0,39,0,0,37,0,0,22,0,0,A quarter
Mercy Ships UK Limited,msuk,2,0,1,0,1,0,2,0,0,3,0,0,A quarter
Milieudefensie,foenl,7,1,3,1,0,1,0,0,2,2,0,0,A quarter
Millennium Challenge Corporation,millenniumchallenge,704,0,0,668,0,0,720,0,0,636,0,0,A quarter
Ministère de l'Economie et des Finances du Bénin,mefbenin,0,0,2,0,3,1,1,0,1,2,0,0,A quarter
Minority Rights Group,mrg,1,0,1,2,0,0,1,0,0,1,0,0,A quarter
Mott MacDonald Limited,mml,19,8,15,25,10,17,13,13,11,19,0,0,A quarter
Musawah Global Vision Berhad,musawah,0,1,0,0,0,0,0,0,0,1,0,0,A quarter
Mzumbe University,m_u,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
Nathan Associates London Ltd.,nathan,12,0,0,7,0,0,7,0,0,6,0,0,A quarter
Nepal Netra Jyoti Sangh,nnjs_nepal,1,0,0,1,1,0,1,2,0,1,0,0,A quarter
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,0,0,0,0,0,0,0,0,0,5,0,0,A quarter
Netherlands Red Cross,nlrc,165,186,208,215,237,169,231,191,167,81,0,0,A quarter
Netherlands Space Office,nso,0,0,0,0,0,0,0,0,0,1,0,0,A quarter
Nonviolent Peaceforce South Sudan,npss,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
Norwegian People's Aid,npa,0,0,0,0,0,0,0,0,0,13,0,0,A quarter
Norwegian Refugee Council,nrc,21,1,0,14,0,0,16,0,0,3,0,0,A quarter
OECD,oecd,0,0,0,0,0,0,2,0,0,1,0,0,A quarter
Options Consultancy Services,options,22,0,0,0,24,0,21,1,0,23,0,0,A quarter
Orbis Charitable Trust,orbis_uk,3,0,0,6,1,0,5,0,0,3,0,0,A quarter
Orbis International,orbis_international,3,0,0,5,2,0,5,1,0,2,0,0,A quarter
Oxfam Solidarité-Solidariteit,oxsol,1,0,9,0,0,0,9,0,0,1,0,0,A quarter
Palladium International Ltd (UK),palladium,26,1,0,21,0,0,8,0,0,5,0,0,A quarter
Partnership for African Social & Governance Research (PASGR),pasgr,1,0,1,1,0,1,1,0,1,1,0,0,A quarter
Pathfinder International,pathfinder1,8,0,0,6,0,1,0,6,1,6,0,0,A quarter
PlanBørnefonden,plb,1,0,0,0,1,0,1,0,0,0,0,1,A quarter
Population Service International,psi,0,0,0,0,0,0,0,0,0,0,2,0,A quarter
Practical Action,pa,415,0,0,181,0,0,332,0,0,364,0,0,A quarter
PricewaterhouseCoopers Private Limited India,pwcplindia,10,4,4,2,1,1,5,3,1,17,0,0,A quarter
Publish What You Fund,pwyf,76,60,49,63,46,52,66,59,51,49,0,0,A quarter
PwC,pwc,32,0,8,37,0,7,26,0,7,23,0,0,A quarter
RCN Justice & Démocratie,rcn,0,3,0,0,1,1,3,3,0,15,0,0,A quarter
Rainforest Foundation UK,rfuk,6,1,0,3,0,0,7,1,0,6,0,0,A quarter
Relief International UK,ri-uk,15,1,0,13,0,0,12,0,0,8,0,0,A quarter
Republic of Korea,odakorea,3058,38,90,210,104,106,140,64,40,1070,0,0,A quarter
Royal Commonwealth Ex-Sevices League,rcel,1,15,7,4,2,0,2,28,0,2,0,0,A quarter
SNV Netherlands Development Organisation,snv,3,5,0,0,2,0,0,1,0,6,0,0,A quarter
SOS Children's Villages The Netherlands,sosnl,1,5,4,2,4,2,3,3,0,2,0,0,A quarter
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,svdbskb_admin,0,0,0,0,0,0,0,0,0,3,0,0,A quarter
Save the Children International,sci,108,1,0,130,4,1,116,2,1,120,0,0,A quarter
Search for Common Ground (SFCG),sfcg,0,0,0,13,0,0,0,0,0,4,0,0,A quarter
Self Help Africa,self-help-africa,1,0,0,1,0,0,2,0,0,2,0,0,A quarter
Sexual Reproductive Health and Rights Africa Trust,srhr_africa_trust,0,0,0,0,0,0,0,0,0,8,0,0,A quarter
Sightsavers,ss-org,641,0,0,654,0,0,648,0,0,1167,0,0,A quarter
Société Nationale des eaux du Bénin (SONEB),soneb-benin,0,2,0,0,1,0,1,2,3,1,0,0,A quarter
Solidar Suisse,solidarsuisse,0,0,1,1,0,0,16,1,8,1,0,0,A quarter
South African Network of People who Use Drugs,sanpud,0,1,0,0,0,0,6,0,0,5,0,0,A quarter
Stichting Agriterra,agriterra,19,0,0,0,0,0,0,1,0,5,0,0,A quarter
Stichting Beheer Subsidiegelden DRA,stichting-subsidiegelden-dra,0,13,2,2,0,0,0,0,2,2,0,0,A quarter
Stichting Fern,stichtingfern,1,0,1,0,0,0,0,0,0,0,2,0,A quarter
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo,0,0,1,0,0,1,0,0,1,2,0,0,A quarter
Stichting Red een Kind,redeenkind,24,16,4,5,10,8,12,12,14,13,0,0,A quarter
Stichting Vluchteling,st_vluchteling,4,4,3,1,2,2,3,5,3,0,0,1,A quarter
Street Child,street_child,15,4,0,16,5,1,7,1,0,8,0,0,A quarter
Tearfund VZW (TFBE),tfb_admin1,0,0,0,0,0,0,0,0,0,6,0,0,A quarter
Terre des Hommes Netherlands,tdh_nl,2,2,0,0,0,0,0,0,0,78,0,0,A quarter
The Global Alliance for Improved Nutrition,gain,452,425,372,422,303,329,302,1,0,0,11,0,A quarter
The HALO Trust,halo,15,0,0,0,0,0,1,0,0,0,2,0,A quarter
The International Rescue Committee,irc_inc,58,0,0,78,0,0,6,0,0,70,0,0,A quarter
The Open University,open_university,17,3,8,16,4,7,13,4,7,10,0,0,A quarter
"The University of Dodoma (UDOM), Tanzania",udom,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
Traidcraft Exchange,traidcraft,2,0,0,2,0,0,2,0,0,1,0,0,A quarter
Transparently Lebanese,transparently_lebanese,0,0,0,0,0,0,0,0,0,0,1,0,A quarter
Trocaire,trocaire,4,3,23,11,9,1,1,15,3,1,0,0,A quarter
UHAI EASHRI,uhai-eashri,2,2,13,8,5,21,9,1,65,99,0,0,A quarter
UN Global Compact Local Network UK,ungc-uk,0,0,0,0,0,0,0,0,0,0,0,1,A quarter
Uganda Martyrs University,umu,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
United Nations Industrial Development Organization (UNIDO),unido,0,0,0,0,0,0,0,0,0,5404,0,0,A quarter
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),unocha-sdc,0,0,0,2,0,0,0,0,0,1,0,0,A quarter
United Nations Population Fund,unfpa,0,0,0,0,0,0,0,0,0,2940,0,0,A quarter
Universiteit Leiden,universiteit_leiden,1,0,0,1,0,0,3,0,0,2,0,0,A quarter
University of Cape Town,uct,3,0,0,3,0,0,3,0,0,3,0,0,A quarter
University of Leeds,leedsuni,0,3,2,2,0,0,0,3,3,1,0,0,A quarter
VEI (Vitens-Evides International),vei_nl,27,0,0,26,0,0,26,0,0,20,0,0,A quarter
Village Water Ltd,villagewater,2,1,0,2,1,0,2,1,0,1,0,0,A quarter
Voluntary Service Overseas (VSO),vso,1,6,4,6,7,0,2,2,1,0,1,0,A quarter
WASTE advisers on urban environment and development,waste,1,2,1,3,1,5,1,2,1,2,0,0,A quarter
WNF Wereld Natuur Fonds,wnf,2,1,6,13,7,1,17,22,10,12,0,0,A quarter
WYG International B.V.,wygi,45,0,0,11,0,0,11,0,1,38,0,0,A quarter
Wageningen University & Research - Stichting Wageningen Research,wageningen_ur,15,5,1,0,2,1,3,0,1,2,0,0,A quarter
War Child Holland,warchildholland,3,4,0,14,0,0,8,0,0,1,0,0,A quarter
Water Finance Facility,wff,3,0,0,3,0,0,3,0,0,3,0,0,A quarter
West Africa Network for Peacebuilding,wanep,0,0,0,0,0,0,0,0,0,3,0,0,A quarter
Women for Women International (UK),wfwiuk,0,0,5,0,0,5,0,0,5,1,0,0,A quarter
Women's Fund Asia,wf-asia,3,0,0,3,1,0,3,0,0,40,0,0,A quarter
World Child Cancer UK,wccuk,5,2,2,6,0,2,5,0,1,8,0,0,A quarter
World Horse Welfare,whw2019,1,0,0,1,0,0,1,0,0,1,0,0,A quarter
World Resources Institute,wri,1,3,4,0,0,1,2,0,1,1,0,0,A quarter
World Vegetable Center,worldveg,1,4,1,3,0,0,1,0,0,1,0,0,A quarter
World Vision UK,wvuk,21,19,12,10,31,10,50,17,11,3,0,0,A quarter
Y Care International,ycare,5,0,1,1,1,1,1,0,1,1,0,0,A quarter
Yamaan Foundation for Health and Social Development,yffhsd,0,0,2,0,0,0,0,0,0,1,0,0,A quarter
Yayasan PEKKA,pekka_21,0,0,0,0,0,36,3,0,0,3,0,0,A quarter
Zoological Society of London,zsl,16,5,0,27,0,0,25,0,0,35,0,0,A quarter
siiqqee Women's Development Association,swda,0,1,0,0,1,1,0,1,1,1,0,0,A quarter
7iber Media Consulting,7iberdotcom,0,0,0,0,0,0,0,1,1,0,0,0,Six months
ADRA Denmark,adra-dk,1,0,1,2,0,0,0,2,0,0,0,0,Six months
APT Action on Poverty,apt,6,5,3,2,2,1,1,0,2,0,0,0,Six months
Accountability Lab,alab,0,0,0,0,0,0,0,1,0,0,0,0,Six months
Action Against Hunger UK,acf,7,4,3,2,1,1,0,1,1,0,0,0,Six months
Action Canada for Sexual Health and Rights,acfshr,1,3,1,0,0,0,1,0,0,0,0,0,Six months
Administração de Infra-Estruturas de Águas e Saneamento,aias,4,0,0,0,0,0,2,0,1,0,0,0,Six months
Afghanaid,afghanaid,223,343,498,165,385,117,0,0,1,0,0,0,Six months
AfriKids,afrikids,2,1,1,3,1,1,2,0,0,0,0,0,Six months
African Center for Economic Transformation (ACET),acet,43,0,0,61,0,0,73,0,0,0,0,0,Six months
Akvo Foundation,akvo,0,0,0,0,1,0,0,5,0,0,0,0,Six months
Alliance for a Green Revolution for Africa,agra,0,0,0,0,0,0,2,0,0,0,0,0,Six months
Amref Health Africa in Uganda,amrefug,0,0,0,0,0,0,1,0,0,0,0,0,Six months
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,18,0,1,14,1,0,16,0,0,0,0,0,Six months
