Publisher Name,Publisher Registry Id,Transaction - Commitment (with valid data),Transaction - Disbursement or Expenditure (with valid data),Transaction - Traceability (with valid data),Budget (with valid data),Average (with valid data),Transaction - Commitment (with any data),Transaction - Disbursement or Expenditure (with any data),Transaction - Traceability (with any data),Budget (with any data),Average (with any data)
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,100.0,-,100.0,0.0,50.0,100.0,-,100.0,0.0,50.0
ActionAid Ghana,aag,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid International,aai,-,-,-,-,0.0,-,-,-,-,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,50.0,100.0,50.0,100.0,75.0,50.0,100.0,50.0,100.0,75.0
ActionAid International Nepal,aain,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
ActionAid Rwanda,aar,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid UK,aauk,75.51020408163265,97.14285714285714,28.205128205128204,100.0,75.2145473574045,75.51020408163265,97.14285714285714,28.205128205128204,100.0,75.2145473574045
Acumen,acumen,0.0,60.0,0.0,100.0,40.0,0.0,60.0,0.0,100.0,40.0
Adam Smith International,asi,0.0,50.0,100.0,100.0,62.5,0.0,50.0,100.0,100.0,62.5
Adaptation Fund,af,100.0,-,100.0,0.0,50.0,100.0,-,100.0,0.0,50.0
ADD International (Action on Disability and Development),addinternational,38.46153846153847,0.0,0.0,92.3076923076923,32.69230769230769,38.46153846153847,0.0,0.0,92.3076923076923,32.69230769230769
Administração de Infra-Estruturas de Águas e Saneamento,aias,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
ADRA Denmark,adra-dk,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
ADRA-UK,adrauk,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
ADS-Nyanza,ads-nyanza,-,-,-,-,0.0,-,-,-,-,0.0
Advance Consulting,ac1999,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
Adventist Development and Relief Agency (ADRA Somalia),adrasom,-,-,-,-,0.0,-,-,-,-,0.0
"Adventist Development and Relief Agency, Nepal",adra_nepal,-,-,-,-,0.0,-,-,-,-,0.0
AECOM,aecom,2.1739130434782608,2.1739130434782608,0.0,100.0,26.08695652173913,2.1739130434782608,2.1739130434782608,0.0,100.0,26.08695652173913
Aeras,aeras,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
AFELT,afelt,-,-,-,-,0.0,-,-,-,-,0.0
AFEW International,afewinternational,-,-,-,-,0.0,-,-,-,-,0.0
Afghanaid,afghanaid,0.0,33.33333333333333,0.0,33.33333333333333,16.666666666666664,0.0,33.33333333333333,0.0,100.0,33.33333333333333
Afghanistan and Central Asian Association,acaa,-,-,-,-,0.0,-,-,-,-,0.0
Afghanistan Public Policy Research Organization (APPRO),appro-af,-,-,-,-,0.0,-,-,-,-,0.0
Africa Educational Trust,aet,0.0,50.0,0.0,0.0,12.5,0.0,50.0,0.0,100.0,37.5
Africa Philanthropy Network,apn,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Africalia,africalia,80.0,90.0,0.0,90.0,65.0,80.0,90.0,0.0,90.0,65.0
African Academy of Sciences,aas,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
African Center for Economic Transformation (ACET),acet,1.8181818181818181,100.0,6.666666666666667,100.0,52.121212121212125,1.8181818181818181,100.0,6.666666666666667,100.0,52.121212121212125
African Centre for Global Health and Social Transformation,achest,-,-,-,-,0.0,-,-,-,-,0.0
African Development Bank,afdb,100.0,84.25196850393701,100.0,98.69888475836431,95.73771331557533,100.0,84.25196850393701,100.0,98.69888475836431,95.73771331557533
African Initiatives,ai_1064413,-,-,-,-,0.0,-,-,-,-,0.0
African Institute For Development Policy,afidep,-,-,-,-,0.0,-,-,-,-,0.0
African Parks Network,african_parks,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
African Population and Health Research Center,aphrc,100.0,100.0,-,100.0,75.0,100.0,100.0,-,100.0,75.0
African Revival,africanrevival,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
African Security Sector Network,assn,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
African Tax Administration Forum,ataf,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
African Women's Development and Communication Network,femnet,66.66666666666666,85.71428571428571,100.0,100.0,88.09523809523809,66.66666666666666,85.71428571428571,100.0,100.0,88.09523809523809
African Women's Development Fund,awdf,20.0,80.0,100.0,100.0,75.0,20.0,80.0,100.0,100.0,75.0
Afrikagrupperna Sweden,afrikagrupperna,-,-,-,-,0.0,-,-,-,-,0.0
AfriKids,afrikids,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Aga Khan Foundation (United Kingdom),akfuk73,0.0,100.0,50.0,0.0,37.5,0.0,100.0,50.0,50.0,50.0
Aga Khan Foundation Afghanistan,akf_afghanistan,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
AgDevCo,agdevco,100.0,88.67924528301887,-,0.0,47.16981132075472,100.0,88.67924528301887,-,0.0,47.16981132075472
Agence Française de Développement,afd,100.0,90.8745247148289,100.0,99.63898916967509,97.628378471126,100.0,90.8745247148289,100.0,99.63898916967509,97.628378471126
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,-,-,-,-,0.0,-,-,-,-,0.0
Agency for Cooperation and Research in Development (ACORD),acord,0.0,50.0,0.0,50.0,25.0,0.0,50.0,0.0,50.0,25.0
AgResults Initiative,agresults,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Agroicone,agroicone,-,-,-,-,0.0,-,-,-,-,0.0
Agulhas Applied Knowledge,aak,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,99.22680412371135,-,-,13.917525773195877,28.286082474226806,99.22680412371135,-,-,13.917525773195877,28.286082474226806
AidData,aiddata,93.69211951773545,63.48186404035552,-,0.0,39.293495889522745,93.69211951773545,63.48186404035552,-,0.0,39.293495889522745
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,80.95238095238095,95.0,66.66666666666666,71.42857142857143,78.51190476190476,80.95238095238095,95.0,66.66666666666666,71.42857142857143,78.51190476190476
AIDSPAN,aidspan,0.0,66.66666666666666,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,0.0,16.666666666666664
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,0.0,100.0,-,0.0,25.0,0.0,100.0,-,0.0,25.0
Akili Dada,ad,11.11111111111111,88.88888888888889,100.0,0.0,50.0,11.11111111111111,88.88888888888889,100.0,0.0,50.0
Akina Mama wa Afrika,amwa,100.0,63.63636363636363,90.9090909090909,100.0,88.63636363636363,100.0,63.63636363636363,90.9090909090909,100.0,88.63636363636363
Aktis Strategy Ltd,aktis,0.0,75.0,0.0,100.0,43.75,0.0,75.0,0.0,100.0,43.75
Akvo Foundation,akvo,-,-,-,-,0.0,-,-,-,-,0.0
Al Majmoua,al_majmoua,50.0,0.0,100.0,50.0,50.0,50.0,0.0,100.0,50.0,50.0
Alcis Holdings Limited,alcis,-,-,-,-,0.0,-,-,-,-,0.0
Alfalit,alfalit,0.0,-,-,0.0,0.0,0.0,-,-,0.0,0.0
Alinea International Ltd.,alineainternational_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All We Can (formerly Methodist Relief and Development Fund),allwecan,-,-,-,-,0.0,-,-,-,-,0.0
Allergy and Asthma Institute Pakistan,aaip,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Alliance for a Green Revolution for Africa,agra,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
"Alliance for Global Water Adaptation, Inc",agwa,-,-,-,-,0.0,-,-,-,-,0.0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Altai Consulting,altai,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
American Friends Service Committee,afsc,-,-,-,-,0.0,-,-,-,-,0.0
Amnesty International The Netherlands,amnesty,100.0,100.0,-,100.0,75.0,100.0,100.0,-,100.0,75.0
Amnesty International UK Section Charitable Trust,aiuk,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Amref Flying Doctors,amrefnl,52.27272727272727,80.95238095238095,80.0,90.9090909090909,76.03354978354977,52.27272727272727,80.95238095238095,80.0,90.9090909090909,76.03354978354977
Amref Health Africa - UK,amrefha,0.0,33.33333333333333,0.0,100.0,33.33333333333333,0.0,33.33333333333333,0.0,100.0,33.33333333333333
Amref Health Africa Headquarters,amrefhq,100.0,100.0,100.0,0.0,75.0,100.0,100.0,100.0,0.0,75.0
Amref Health Africa in Ethiopia,amrefeth,50.0,50.0,100.0,50.0,62.5,50.0,50.0,100.0,50.0,62.5
Amref Health Africa in Kenya,amrefkenya,100.0,100.0,100.0,50.0,87.5,100.0,100.0,100.0,50.0,87.5
Amref health Africa in Senegal,awa_sn,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Amref Health Africa in Tanzania,amreftz,50.0,0.0,100.0,50.0,50.0,50.0,0.0,100.0,50.0,50.0
Amref Health Africa in Uganda,amrefug,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Amref Health Africa Malawi,amrefmw,-,-,-,-,0.0,-,-,-,-,0.0
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,0.0,100.0,100.0,0.0,50.0,0.0,100.0,100.0,0.0,50.0
ANDA,anda,0.0,-,-,0.0,0.0,0.0,-,-,0.0,0.0
Anti-Slavery International,asil,-,-,-,100.0,25.0,-,-,-,100.0,25.0
APPRO-Europe,appro-eu,-,-,-,-,0.0,-,-,-,-,0.0
APT Action on Poverty,apt,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Aqua for All,aqua4all,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Arab foundation for freedoms and equality,afemena,-,-,-,-,0.0,-,-,-,-,0.0
Arab Reporters for Investigative Journalism,arij,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Arab Women Organization of Jordan,awo2022,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARK (Absolute Return for Kids),ark,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
ARQ International,arq_intl,0.0,-,-,100.0,25.0,0.0,-,-,100.0,25.0
Article19,art19,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Ashoka East Africa,ashoka,-,-,-,-,0.0,-,-,-,-,0.0
Asia Justice and Rights,ajar,-,-,-,-,0.0,-,-,-,-,0.0
Asian Coalition for Housing Rights,achr,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Asian Development Bank,asdb,100.0,99.77272727272727,100.0,100.0,99.94318181818181,100.0,99.77272727272727,100.0,100.0,99.94318181818181
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,rpm,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Asociación Profamilia,profamilia,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
Assistance Mission for Africa,ama-south-sudan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,-,-,-,-,0.0,-,-,-,-,0.0
Association CHS Alliance,chs_alliance,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,-,-,-,-,0.0,-,-,-,-,0.0
Association de Soutien au Développement des Activités de Population,asdap,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Association des Editeurs du Magazine Jimbere,j2022,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,-,-,-,-,0.0,-,-,-,-,0.0
Association for Progressive Communication,apc,4.166666666666666,87.5,100.0,4.166666666666666,48.958333333333336,4.166666666666666,87.5,100.0,4.166666666666666,48.958333333333336
Association for Reproductive and Family Health,arfh,-,-,-,-,0.0,-,-,-,-,0.0
Association for Women's Rights in Development (AWID),awid,33.33333333333333,100.0,100.0,100.0,83.33333333333333,33.33333333333333,100.0,100.0,100.0,83.33333333333333
Association of Commonwealth Universities,acu,-,-,-,-,0.0,-,-,-,-,0.0
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,-,-,-,-,0.0,-,-,-,-,0.0
Atos IT Services Ltd,atosuk,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Atradius Dutch State Business,adsb,61.44578313253012,0.0,100.0,2.4096385542168677,40.963855421686745,61.44578313253012,0.0,100.0,2.4096385542168677,40.963855421686745
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Australia - Department of  Foreign Affairs and Trade,ausgov,83.07410795974383,100.0,100.0,43.18389752973468,81.56450137236963,83.07410795974383,100.0,100.0,43.18389752973468,81.56450137236963
Auto-Développement Afrique (ADA),ada,100.0,-,-,0.0,25.0,100.0,-,-,0.0,25.0
Autre Terre asbl,a-t,-,-,-,-,0.0,-,-,-,-,0.0
AUXFIN Burundi,auxfinbi,-,-,-,-,0.0,-,-,-,-,0.0
Avanti Communications Plc,ava_admin,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Avocats Sans Frontières,asf,100.0,-,-,100.0,50.0,100.0,-,-,100.0,50.0
AVSI FOUNDATION IN UGANDA,avsi_uganda,-,-,-,-,0.0,-,-,-,-,0.0
AVSI South Sudan,avsi-ssd,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
AVT-L Association of Victims of Terrorism Lebanon,avt-l,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
AWEPA,awepa,-,-,-,-,0.0,-,-,-,-,0.0
Babawatoto Centre For Children and Youth,bawacecy-tz,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Backward Society Education (BASE),base_22,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Balloon Ventures Foundation,bvf,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Bangladesh Business and Disability Network,bbdn,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Bangladesh Nari Progati Sangha,bnps,-,-,-,-,0.0,-,-,-,-,0.0
Bangladesh Primary Care Respiratory Society,bpcrs,-,-,-,-,0.0,-,-,-,-,0.0
Bangladesh Youth Leadership Center,bylc,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Bani Abdurrahman Wahid Foundation (YBAW),ybawahid,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
BasicNeeds,basicneeds,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,-,-,-,-,0.0,-,-,-,-,0.0
BBC Media Action,bbcmediaaction,11.76470588235294,18.75,75.0,94.11764705882352,49.908088235294116,11.76470588235294,18.75,75.0,94.11764705882352,49.908088235294116
BDO LLP,bdo,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Bees Abroad UK,bauk,-,-,-,-,0.0,-,-,-,-,0.0
Bees for Development Trust,beesfordevelopment,-,-,-,-,0.0,-,-,-,-,0.0
Behavioural Insights Team,bit,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Belgian development agency (Enabel),enabel,54.43548387096774,0.0,-,0.0,13.608870967741934,54.43548387096774,0.0,-,0.0,13.608870967741934
Belgian Development Cooperation,be-dgd,94.89194499017681,94.15584415584416,-,69.74459724950884,64.69809659888246,94.89194499017681,94.15584415584416,-,69.74459724950884,64.69809659888246
Benelux Afro Center,bac,-,-,-,-,0.0,-,-,-,-,0.0
Berytech Foundation,berytech,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,100.0,-,-,0.0,25.0,100.0,-,-,0.0,25.0
Bibliothèques Sans Frontières,bsf1,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Bill & Melinda Gates Foundation,bmgf,100.0,99.85315712187959,100.0,100.0,99.9632892804699,100.0,99.85315712187959,100.0,100.0,99.9632892804699
Bioclimate Research and Development,bioclimate,100.0,100.0,66.66666666666666,33.33333333333333,74.99999999999999,100.0,100.0,66.66666666666666,100.0,91.66666666666666
Blue Ventures Conservation,blueventures,-,-,-,-,0.0,-,-,-,-,0.0
Bond,bond,-,-,-,-,0.0,-,-,-,-,0.0
BoP Innovation Center,bopinc,50.0,100.0,100.0,100.0,87.5,50.0,100.0,100.0,100.0,87.5
BOS+ tropen,bos_plus_tropen,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Boston University,bu-carbx-admin,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Both ENDS,bothends,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRAC,brac_admin2,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
BRAC International,bracintl,25.0,100.0,25.0,100.0,62.5,25.0,100.0,25.0,100.0,62.5
BRAC UK,bracuk,25.0,100.0,20.0,100.0,61.25,25.0,100.0,20.0,100.0,61.25
BRAC University,bu,40.0,40.0,0.0,0.0,20.0,40.0,40.0,0.0,0.0,20.0
Brigham and Women's Hospital,bwh,-,-,-,-,0.0,-,-,-,-,0.0
British & Irish Agencies Afghanistan Group,baag,-,-,-,-,0.0,-,-,-,-,0.0
British Asian Trust,b_a_t,0.0,100.0,50.0,100.0,62.5,0.0,100.0,50.0,100.0,62.5
British Council,britishcouncil,6.451612903225806,6.666666666666667,100.0,100.0,53.27956989247312,6.451612903225806,6.666666666666667,100.0,100.0,53.27956989247312
British International Investment plc,bii,100.0,0.0,100.0,0.0,50.0,100.0,0.0,100.0,0.0,50.0
British Red Cross,gb-chc-220949,0.0,73.57142857142858,90.0,7.5,42.767857142857146,0.0,73.57142857142858,90.0,7.5,42.767857142857146
Broederlijk Delen,bd,-,-,-,-,0.0,-,-,-,-,0.0
Brujula Comunicaciones Estrategicas SAS,brujula,-,-,-,-,0.0,-,-,-,-,0.0
Brulocalis,brulocalis,40.0,100.0,50.0,100.0,72.5,40.0,100.0,50.0,100.0,72.5
BSR,bsr_admin,100.0,0.0,50.0,100.0,62.5,100.0,0.0,50.0,100.0,62.5
Bucks Community NGO,bucksfarm,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Build Africa,buildafrica,-,-,-,-,0.0,-,-,-,-,0.0
Burns Violence Survivors - Nepal,bvs-nepal,-,-,-,-,0.0,-,-,-,-,0.0
Burundi Leadership Training Programme,bltp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Business in the Community,bitc,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Business Watch Indonesia,bwi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
C40 Cities Climate Leadership Group,c40cities,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
CABI,cabi,50.0,100.0,50.0,0.0,50.0,50.0,100.0,50.0,0.0,50.0
Camfed International,camfed,33.33333333333333,-,-,100.0,33.33333333333333,33.33333333333333,-,-,100.0,33.33333333333333
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,100.0,91.26106194690266,100.0,100.0,97.81526548672566,100.0,91.26106194690266,100.0,100.0,97.81526548672566
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,84.37999543274721,89.40397350993378,-,0.0,43.445992235670246,84.37999543274721,89.40397350993378,-,0.0,43.445992235670246
Canada Department of Finance / Ministère des Finances Canada,finance_canada,90.9090909090909,-,100.0,100.0,72.72727272727272,90.9090909090909,-,100.0,100.0,72.72727272727272
CANADEM,canadem,0.0,7.6923076923076925,-,92.3076923076923,25.0,0.0,7.6923076923076925,-,92.3076923076923,25.0
Canon Collins Trust,canoncollinstrust,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
CAPABUILD,capabui,100.0,0.0,66.66666666666666,100.0,66.66666666666666,100.0,0.0,66.66666666666666,100.0,66.66666666666666
Carbon Trust (Beijing) Consulting Limited,ctbeijing,-,-,-,-,0.0,-,-,-,-,0.0
Carbon Trust Advisory Ltd,carbontrustadvisory,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Cardno Emerging Markets,cardnoem,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
CARE BENIN/TOGO,carebenintogo,0.0,-,-,0.0,0.0,0.0,-,-,0.0,0.0
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
CARE International Afghanistan,ciafg,-,-,-,-,0.0,-,-,-,-,0.0
CARE international foundation Switzerland in Sudan,cis,-,-,-,-,0.0,-,-,-,-,0.0
CARE International in Zimbabwe,ciz,-,-,-,-,0.0,-,-,-,-,0.0
CARE International UK,ciuk,0.36363636363636365,62.35294117647059,93.71428571428572,100.0,64.10771581359816,0.36363636363636365,62.35294117647059,93.71428571428572,100.0,64.10771581359816
CARE Nederland,carenederland,55.00000000000001,50.0,100.0,10.0,53.75,55.00000000000001,50.0,100.0,10.0,53.75
CARE Nepal,cnepal,-,-,-,-,0.0,-,-,-,-,0.0
CARE SOMALIA,csom1,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Carers Worldwide,cww,-,-,-,-,0.0,-,-,-,-,0.0
Caribbean Development Bank (CDB),caribank,23.076923076923077,80.0,75.0,38.46153846153847,54.13461538461539,23.076923076923077,80.0,75.0,38.46153846153847,54.13461538461539
Caritas Denmark,caritas_denmark,0.0,-,100.0,0.0,25.0,0.0,-,100.0,0.0,25.0
Caritas Finland,caritasfin,-,-,-,-,0.0,-,-,-,-,0.0
Caritas International (Belgium),cibe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Caritas Serbia,caritas_serbia,-,-,-,-,0.0,-,-,-,-,0.0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,-,-,-,-,0.0,-,-,-,-,0.0
Catholic Agency For Overseas Development (CAFOD),cafod,0.0,86.51685393258427,100.0,100.0,71.62921348314606,0.0,86.51685393258427,100.0,100.0,71.62921348314606
Catholic Relief Services,crs,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CDA Collaborative Learning Projects,cda,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
CDAC Network,cdacnetwork,0.0,75.0,100.0,100.0,68.75,0.0,75.0,100.0,100.0,68.75
CDP Worldwide,cdp,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Cecily's Fund,cecily,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Center for Church-Based Development,cku,0.0,93.28859060402685,100.0,100.0,73.32214765100672,0.0,93.28859060402685,100.0,100.0,73.32214765100672
Center for Civilians in Conflict,civic_admin,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
